date,cur_price,open_price,high_price,low_price,trade_quantity,updown_rate
2018-12-12,0.20561,0.19887,0.20766,0.19775,37.90K,2.19%
2018-12-11,0.20121,0.20447,0.20447,0.196,13.19K,-1.59%
2018-12-10,0.20447,0.21574,0.22124,0.2025,27.51K,-5.23%
2018-12-09,0.21574,0.20529,0.22438,0.20529,24.74K,5.09%
2018-12-08,0.20529,0.20846,0.21797,0.1953,141.26K,-1.52%
2018-12-07,0.20846,0.21447,0.21733,0.18988,131.77K,-2.80%
2018-12-06,0.21447,0.23193,0.24249,0.21428,64.91K,-7.53%
2018-12-05,0.23193,0.25081,0.25525,0.23193,44.75K,-7.53%
2018-12-04,0.25081,0.24747,0.26318,0.23634,103.59K,1.35%
2018-12-03,0.24747,0.27032,0.27157,0.2386,59.74K,-8.45%
2018-12-02,0.27032,0.27375,0.28126,0.26972,43.19K,-1.25%
2018-12-01,0.27375,0.25558,0.28363,0.24621,164.25K,7.11%
2018-11-30,0.25558,0.28506,0.28621,0.24001,115.05K,-10.34%
2018-11-29,0.28506,0.27446,0.30116,0.2622,162.37K,3.86%
2018-11-28,0.27446,0.23362,0.28598,0.23362,200.64K,17.48%
2018-11-27,0.23362,0.22526,0.23522,0.21883,60.07K,3.71%
2018-11-26,0.22526,0.24381,0.25464,0.21466,110.47K,-7.61%
2018-11-25,0.24381,0.24164,0.25178,0.21678,144.33K,0.84%
2018-11-24,0.24177,0.27673,0.28302,0.22924,93.33K,-12.63%
2018-11-23,0.27673,0.28619,0.28765,0.26579,82.26K,-3.30%
2018-11-22,0.28619,0.30269,0.31165,0.28619,27.62K,-5.45%
2018-11-21,0.30269,0.28157,0.31035,0.27081,86.57K,7.50%
2018-11-20,0.28157,0.33034,0.33922,0.26257,191.88K,-14.76%
2018-11-19,0.33034,0.42145,0.42174,0.32284,237.32K,-21.62%
2018-11-18,0.42145,0.41954,0.42873,0.41852,20.39K,0.46%
2018-11-17,0.41954,0.42604,0.42669,0.41201,24.89K,-1.53%
2018-11-16,0.42604,0.4489,0.45468,0.41945,68.82K,-5.09%
2018-11-15,0.4489,0.47153,0.47185,0.40692,221.84K,-4.80%
2018-11-14,0.47153,0.55019,0.55019,0.43474,153.88K,-14.30%
2018-11-13,0.55019,0.56519,0.56519,0.54665,197.20K,-2.66%
2018-11-12,0.56519,0.58257,0.59015,0.5564,44.55K,-2.98%
2018-11-11,0.58257,0.59721,0.59878,0.57203,63.87K,-2.45%
2018-11-10,0.59721,0.59213,0.60604,0.59213,76.65K,0.86%
2018-11-09,0.59213,0.61747,0.6191,0.58942,172.29K,-4.10%
2018-11-08,0.61747,0.64055,0.6406,0.61581,56.62K,-3.60%
2018-11-07,0.64055,0.65021,0.65996,0.64007,51.25K,-1.49%
2018-11-06,0.65021,0.63671,0.65021,0.62867,53.29K,2.12%
2018-11-05,0.63671,0.65164,0.6524,0.63465,58.08K,-2.29%
2018-11-04,0.65164,0.62895,0.66097,0.62719,49.40K,3.61%
2018-11-03,0.62895,0.64244,0.64244,0.62659,11.57K,-2.29%
2018-11-02,0.6437,0.64953,0.65386,0.63404,88.74K,-0.90%
2018-11-01,0.64953,0.64863,0.65886,0.64042,100.52K,0.14%
2018-10-31,0.64863,0.62429,0.65105,0.60295,129.69K,3.90%
2018-10-30,0.62429,0.62189,0.63483,0.61839,31.05K,0.39%
2018-10-29,0.62189,0.65098,0.65485,0.60794,101.91K,-4.47%
2018-10-28,0.65098,0.64347,0.6517,0.64346,45.05K,1.17%
2018-10-27,0.64347,0.6679,0.6736,0.64097,72.48K,-3.66%
2018-10-26,0.6679,0.66939,0.67447,0.66324,33.77K,-0.22%
2018-10-25,0.66939,0.67975,0.68089,0.66075,72.24K,-1.52%
2018-10-24,0.67975,0.67795,0.69295,0.6717,87.47K,0.27%
2018-10-23,0.67795,0.70741,0.71632,0.67285,70.91K,-4.16%
2018-10-22,0.70741,0.7063,0.71419,0.68874,97.08K,0.16%
2018-10-21,0.7063,0.75064,0.77121,0.70533,125.92K,-5.91%
2018-10-20,0.75064,0.70869,0.77343,0.69985,186.42K,5.92%
2018-10-19,0.7087,0.69919,0.72067,0.69077,97.83K,1.36%
2018-10-18,0.69919,0.74666,0.74666,0.68689,144.09K,-6.36%
2018-10-17,0.74666,0.70648,0.76041,0.702,203.34K,5.69%
2018-10-16,0.70648,0.68957,0.72751,0.68463,290.75K,2.45%
2018-10-15,0.68956,0.62307,0.71338,0.61016,412.37K,10.67%
2018-10-14,0.62307,0.62253,0.6449,0.62038,19.30K,0.09%
2018-10-13,0.62253,0.60418,0.62376,0.60225,38.65K,3.04%
2018-10-12,0.60418,0.59813,0.62819,0.5845,65.92K,1.01%
2018-10-11,0.59813,0.73613,0.73613,0.59065,346.43K,-18.75%
2018-10-10,0.73613,0.70161,0.73632,0.67028,166.70K,4.92%
2018-10-09,0.70161,0.70159,0.70783,0.68107,117.20K,0.00%
2018-10-08,0.70159,0.67652,0.70767,0.66954,134.24K,3.71%
2018-10-07,0.67652,0.66728,0.67863,0.65742,97.10K,1.39%
2018-10-06,0.66728,0.68466,0.69364,0.66543,52.15K,-2.54%
2018-10-05,0.68466,0.6716,0.68572,0.66345,42.19K,1.94%
2018-10-04,0.6716,0.67004,0.6868,0.66879,78.94K,0.23%
2018-10-03,0.67004,0.6895,0.6895,0.65347,98.51K,-2.82%
2018-10-02,0.6895,0.66745,0.70813,0.66745,229.09K,3.30%
2018-10-01,0.66745,0.65414,0.68777,0.65414,211.75K,2.03%
2018-09-30,0.65414,0.65508,0.65904,0.64082,59.78K,-0.14%
2018-09-29,0.65508,0.65029,0.66085,0.62921,52.20K,0.74%
2018-09-28,0.65029,0.66352,0.6824,0.63453,154.74K,-1.99%
2018-09-27,0.66352,0.62674,0.67236,0.62161,102.70K,5.87%
2018-09-26,0.62674,0.63018,0.6489,0.61627,53.97K,-0.55%
2018-09-25,0.63018,0.64567,0.6462,0.5956,111.75K,-2.40%
2018-09-24,0.64567,0.69454,0.71216,0.64567,217.13K,-7.04%
2018-09-23,0.69454,0.6814,0.70633,0.66802,260.01K,1.93%
2018-09-22,0.6814,0.71777,0.73554,0.64315,332.09K,-5.07%
2018-09-21,0.71777,0.6329,0.72534,0.62456,413.42K,13.41%
2018-09-20,0.6329,0.59224,0.64205,0.58621,174.58K,6.86%
2018-09-19,0.59224,0.59777,0.60534,0.5632,371.88K,-0.97%
2018-09-18,0.59802,0.58052,0.60998,0.56625,441.32K,3.01%
2018-09-17,0.58052,0.63871,0.65047,0.57062,723.01K,-9.11%
2018-09-16,0.63871,0.63709,0.64637,0.61599,425.97K,0.25%
2018-09-15,0.63709,0.62068,0.67205,0.61683,581.33K,2.64%
2018-09-14,0.62068,0.63243,0.65325,0.60203,603.52K,-1.86%
2018-09-13,0.63243,0.5921,0.66386,0.5921,686.15K,6.81%
2018-09-12,0.5921,0.5781,0.59383,0.52644,481.55K,2.42%
2018-09-11,0.5781,0.61558,0.6274,0.54699,427.67K,-6.06%
2018-09-10,0.61542,0.61911,0.64295,0.60336,478.22K,-0.60%
2018-09-09,0.61911,0.63373,0.67414,0.60626,424.26K,-2.31%
2018-09-08,0.63373,0.68354,0.70966,0.6196,451.89K,-7.05%
2018-09-07,0.68177,0.7366,0.76908,0.67822,496.10K,-7.44%
2018-09-06,0.7366,0.72119,0.74598,0.67588,471.06K,2.14%
2018-09-05,0.72119,0.92828,0.93223,0.71449,801.49K,-22.31%
2018-09-04,0.92828,0.89623,0.94913,0.89424,421.79K,3.58%
2018-09-03,0.89623,0.92447,0.93335,0.88005,358.27K,-3.05%
2018-09-02,0.92447,0.9441,0.97272,0.90554,416.32K,-2.08%
2018-09-01,0.9441,0.90065,0.99488,0.90065,484.77K,4.82%
2018-08-31,0.90065,0.86236,0.92701,0.83468,491.24K,4.44%
2018-08-30,0.86236,0.87092,0.88548,0.7878,837.44K,-0.90%
2018-08-29,0.87022,0.92993,0.93483,0.83026,576.34K,-6.42%
2018-08-28,0.92993,0.90797,0.96835,0.90046,682.09K,2.40%
2018-08-27,0.90813,0.91492,0.994,0.86085,773.54K,-0.74%
2018-08-26,0.91492,0.75634,0.92867,0.69087,795.47K,20.97%
2018-08-25,0.75634,0.67212,0.76595,0.66352,486.86K,12.53%
2018-08-24,0.67212,0.65979,0.69461,0.63035,376.56K,1.85%
2018-08-23,0.65988,0.58985,0.65988,0.58921,359.25K,11.87%
2018-08-22,0.58985,0.63967,0.69883,0.55407,533.08K,-7.79%
2018-08-21,0.63967,0.60338,0.65086,0.59656,448.22K,6.01%
2018-08-20,0.60338,0.67348,0.69667,0.59979,411.63K,-10.41%
2018-08-19,0.67348,0.62513,0.68592,0.61355,416.75K,7.74%
2018-08-18,0.62513,0.7363,0.75823,0.58392,713.14K,-15.10%
2018-08-17,0.7363,0.54547,0.7363,0.54483,730.49K,34.99%
2018-08-16,0.54547,0.50499,0.56407,0.49446,401.65K,7.72%
2018-08-15,0.50638,0.52552,0.57663,0.50384,548.24K,-3.64%
2018-08-14,0.52552,0.56392,0.56533,0.46072,658.04K,-6.81%
2018-08-13,0.56392,0.68418,0.69128,0.56294,405.06K,-17.58%
2018-08-12,0.68418,0.65023,0.69426,0.64249,282.09K,5.22%
2018-08-11,0.65023,0.71113,0.71375,0.62685,413.76K,-8.86%
2018-08-10,0.71346,0.78511,0.80634,0.69588,421.61K,-9.13%
2018-08-09,0.78511,0.7864,0.81931,0.71589,422.55K,-0.16%
2018-08-08,0.7864,0.8789,0.88052,0.78513,439.59K,-10.52%
2018-08-07,0.87888,0.93303,1.00905,0.87625,473.09K,-5.80%
2018-08-06,0.93303,0.91213,0.94587,0.89558,401.32K,2.29%
2018-08-05,0.91213,0.91291,0.91545,0.88621,424.96K,-0.09%
2018-08-04,0.91291,0.95411,0.96976,0.90796,415.84K,-4.32%
2018-08-03,0.95411,1.00222,1.00358,0.94081,432.59K,-4.80%
2018-08-02,1.00222,1.07609,1.09305,0.98571,404.51K,-6.86%
2018-08-01,1.07609,1.17604,1.18053,1.05239,384.52K,-8.61%
2018-07-31,1.17747,1.2303,1.23537,1.16813,435.15K,-4.29%
2018-07-30,1.2303,1.31231,1.32307,1.19672,429.89K,-6.25%
2018-07-29,1.31231,1.33219,1.34724,1.30987,389.98K,-1.49%
2018-07-28,1.33219,1.33015,1.34715,1.32029,372.16K,0.15%
2018-07-27,1.33015,1.30824,1.34206,1.30465,374.97K,1.67%
2018-07-26,1.30824,1.39225,1.40909,1.30096,411.83K,-6.03%
2018-07-25,1.39225,1.3398,1.42295,1.31628,452.80K,3.91%
2018-07-24,1.3398,1.3065,1.41938,1.26032,444.73K,2.55%
2018-07-23,1.3065,1.35825,1.42977,1.28955,409.08K,-3.81%
2018-07-22,1.35825,1.38504,1.44326,1.34862,427.37K,-1.93%
2018-07-21,1.38504,1.38668,1.44174,1.3717,421.04K,-0.15%
2018-07-20,1.38707,1.48966,1.49333,1.38159,480.30K,-6.89%
2018-07-19,1.48966,1.54958,1.60225,1.47136,391.76K,-3.87%
2018-07-18,1.54958,1.63057,1.75717,1.50824,421.55K,-4.97%
2018-07-17,1.63057,1.49752,1.67858,1.4355,379.83K,8.88%
2018-07-16,1.49752,1.36345,1.50067,1.35745,350.41K,9.83%
2018-07-15,1.36345,1.32756,1.40151,1.32053,312.12K,2.70%
2018-07-14,1.32756,1.32135,1.33379,1.29789,293.72K,0.05%
2018-07-13,1.3269,1.31979,1.38212,1.31319,440.80K,0.54%
2018-07-12,1.31979,1.43296,1.43519,1.26239,439.39K,-7.90%
2018-07-11,1.43296,1.41331,1.47236,1.37992,462.43K,1.31%
2018-07-10,1.41437,1.62765,1.63267,1.41131,496.22K,-13.22%
2018-07-09,1.62981,1.71687,1.7367,1.62824,426.80K,-5.07%
2018-07-08,1.71687,1.71852,1.79428,1.68014,415.96K,-0.10%
2018-07-07,1.71852,1.68685,1.72845,1.59895,394.41K,1.88%
2018-07-06,1.68685,1.67786,1.70146,1.55518,450.79K,0.54%
2018-07-05,1.67786,1.72284,1.77944,1.63357,467.43K,-2.61%
2018-07-04,1.72284,1.65856,1.82739,1.57576,506.61K,3.88%
2018-07-03,1.65856,1.76819,1.81621,1.65002,507.53K,-6.22%
2018-07-02,1.76858,1.65649,1.81424,1.58072,445.14K,7.00%
2018-07-01,1.65286,1.56051,1.71213,1.54714,468.23K,5.92%
2018-06-30,1.56042,1.5236,1.62361,1.51643,452.92K,2.42%
2018-06-29,1.5236,1.41524,1.55627,1.37335,437.38K,7.58%
2018-06-28,1.41621,1.51975,1.58247,1.40306,452.68K,-6.81%
2018-06-27,1.51975,1.47157,1.53886,1.44611,435.45K,3.00%
2018-06-26,1.47549,1.62335,1.63764,1.46325,474.21K,-8.90%
2018-06-25,1.61963,1.56594,1.68411,1.54557,471.94K,3.15%
2018-06-24,1.57012,1.75004,1.75562,1.45605,505.33K,-10.28%
2018-06-23,1.75004,1.777,1.81854,1.70711,423.63K,-1.36%
2018-06-22,1.77411,1.98937,1.99458,1.69646,513.05K,-10.82%
2018-06-21,1.98937,2.08092,2.10323,1.97863,445.22K,-4.60%
2018-06-20,2.08533,2.10065,2.12617,2.00851,448.20K,-0.90%
2018-06-19,2.10434,2.11409,2.19299,2.05653,489.05K,-0.22%
2018-06-18,2.10904,1.98029,2.16379,1.9391,433.33K,6.50%
2018-06-17,1.98029,2.02513,2.09272,1.97565,433.01K,-2.08%
2018-06-16,2.0224,1.98911,2.05006,1.87016,530.75K,1.34%
2018-06-15,1.99575,2.27823,2.29287,1.98613,500.26K,-12.39%
2018-06-14,2.27786,1.98542,2.36791,1.96067,660.22K,14.73%
2018-06-13,1.98543,1.8826,2.07154,1.80626,723.93K,5.17%
2018-06-12,1.88774,2.14782,2.15574,1.83651,438.77K,-12.16%
2018-06-11,2.14917,2.11343,2.15478,2.02463,428.77K,1.80%
2018-06-10,2.11121,2.45216,2.45255,2.04534,459.85K,-13.71%
2018-06-09,2.44662,2.59125,2.60492,2.44069,397.68K,-5.73%
