date,cur_price,open_price,high_price,low_price,trade_quantity,updown_rate
2019-05-05,0.5,0.5,0.5,0.49,1.53K,0.00%
2019-05-04,0.5,0.52,0.52,0.49,6.58K,-4.02%
2019-05-03,0.52,0.46,0.52,0.46,3.18K,12.76%
2019-05-02,0.46,0.48,0.48,0.46,3.95K,-3.00%
2019-05-01,0.48,0.46,0.49,0.46,15.82K,2.74%
2019-04-30,0.46,0.42,0.47,0.42,2.68K,10.21%
2019-04-29,0.42,0.45,0.45,0.42,1.29K,-6.14%
2019-04-28,0.45,0.45,0.46,0.44,4.17K,0.00%
2019-04-27,0.45,0.43,0.46,0.43,4.14K,6.34%
2019-04-26,0.43,0.45,0.45,0.43,3.04K,-5.40%
2019-04-25,0.45,0.47,0.49,0.45,7.46K,-4.21%
2019-04-24,0.47,0.49,0.53,0.43,9.04K,-3.15%
2019-04-23,0.49,0.49,0.5,0.48,7.52K,-1.36%
2019-04-22,0.49,0.49,0.6,0.49,39.64K,0.00%
2019-04-21,0.49,0.5,0.51,0.4,1.26K,-2.50%
2019-04-20,0.5,0.52,0.53,0.5,0.48K,-2.42%
2019-04-19,0.52,0.52,0.52,0.52,1.33K,0.00%
2019-04-18,0.52,0.5,0.52,0.5,0.27K,3.43%
2019-04-17,0.5,0.51,0.51,0.48,7.40K,-1.67%
2019-04-16,0.51,0.5,0.51,0.49,6.03K,2.82%
2019-04-15,0.5,0.52,0.53,0.48,21.78K,-5.45%
2019-04-14,0.52,0.53,0.54,0.51,10.03K,-1.15%
2019-04-13,0.53,0.51,0.54,0.5,11.43K,5.03%
2019-04-12,0.51,0.49,0.51,0.46,22.47K,2.93%
2019-04-11,0.49,0.52,0.52,0.47,28.31K,-5.45%
2019-04-10,0.52,0.53,0.54,0.51,3.53K,-2.61%
2019-04-09,0.53,0.55,0.55,0.49,5.58K,-2.56%
2019-04-08,0.55,0.57,0.61,0.49,10.46K,-3.87%
2019-04-07,0.57,0.58,0.58,0.56,5.04K,-1.51%
2019-04-06,0.58,0.56,0.59,0.56,7.40K,2.41%
2019-04-05,0.56,0.54,0.58,0.54,6.88K,5.26%
2019-04-04,0.54,0.56,0.58,0.52,15.65K,-3.70%
2019-04-03,0.56,0.58,0.6,0.56,9.70K,-4.33%
2019-04-02,0.58,0.56,0.59,0.51,9.28K,4.49%
2019-04-01,0.56,0.52,0.56,0.52,12.67K,9.39%
2019-03-31,0.51,0.49,0.54,0.49,13.48K,3.48%
2019-03-30,0.49,0.49,0.5,0.48,3.82K,0.00%
2019-03-29,0.49,0.49,0.5,0.49,4.84K,0.00%
2019-03-28,0.49,0.49,0.51,0.48,5.93K,1.31%
2019-03-27,0.49,0.46,0.5,0.45,2.61K,6.42%
2019-03-26,0.46,0.47,0.49,0.45,4.50K,-3.09%
2019-03-25,0.47,0.45,0.48,0.44,8.41K,3.92%
2019-03-24,0.45,0.46,0.47,0.45,1.49K,0.00%
2019-03-23,0.46,0.46,0.5,0.46,2.24K,-1.34%
2019-03-22,0.46,0.46,0.46,0.44,5.92K,0.00%
2019-03-21,0.46,0.48,0.48,0.44,3.42K,-3.80%
2019-03-20,0.48,0.49,0.5,0.47,1.60K,0.00%
2019-03-19,0.49,0.47,0.49,0.47,0.70K,2.32%
2019-03-18,0.47,0.48,0.48,0.46,2.15K,-1.08%
2019-03-17,0.48,0.47,0.5,0.47,3.49K,0.00%
2019-03-16,0.47,0.48,0.49,0.47,2.57K,-1.51%
2019-03-15,0.48,0.49,0.51,0.48,1.01K,-1.09%
2019-03-14,0.49,0.48,0.49,0.47,6.92K,0.00%
2019-03-13,0.48,0.53,0.53,0.47,3.18K,-8.07%
2019-03-12,0.53,0.46,0.53,0.45,14.33K,14.46%
2019-03-11,0.46,0.5,0.51,0.46,13.10K,-8.65%
2019-03-10,0.5,0.47,0.54,0.47,14.40K,7.37%
2019-03-09,0.47,0.47,0.48,0.45,8.83K,0.00%
2019-03-08,0.47,0.47,0.5,0.46,15.81K,0.00%
2019-03-07,0.47,0.43,0.47,0.42,2.92K,7.49%
2019-03-06,0.43,0.42,0.44,0.42,1.73K,3.88%
2019-03-05,0.42,0.42,0.43,0.4,4.12K,0.00%
2019-03-04,0.42,0.43,0.43,0.4,1.31K,-2.28%
2019-03-03,0.43,0.42,0.43,0.42,1.00K,1.77%
2019-03-02,0.42,0.43,0.43,0.42,2.77K,-2.17%
2019-03-01,0.43,0.43,0.44,0.42,3.25K,0.00%
2019-02-28,0.43,0.42,0.44,0.42,2.03K,0.00%
2019-02-27,0.42,0.44,0.44,0.42,0.81K,-3.48%
2019-02-26,0.44,0.47,0.47,0.43,4.00K,-5.53%
2019-02-25,0.47,0.4,0.47,0.4,4.80K,14.84%
2019-02-24,0.4,0.46,0.46,0.4,10.66K,-11.88%
2019-02-23,0.46,0.45,0.46,0.45,3.14K,3.07%
2019-02-22,0.45,0.45,0.45,0.44,3.28K,0.00%
2019-02-21,0.45,0.46,0.48,0.44,21.79K,-2.84%
2019-02-20,0.46,0.47,0.47,0.45,7.17K,-1.37%
2019-02-19,0.47,0.47,0.47,0.47,2.99K,0.00%
2019-02-18,0.47,0.45,0.48,0.45,7.59K,4.58%
2019-02-17,0.45,0.44,0.47,0.42,5.40K,2.86%
2019-02-16,0.44,0.44,0.44,0.43,7.23K,0.00%
2019-02-15,0.44,0.43,0.44,0.42,8.37K,2.43%
2019-02-14,0.43,0.44,0.45,0.43,5.13K,-2.46%
2019-02-13,0.44,0.43,0.44,0.42,11.19K,1.44%
2019-02-12,0.43,0.43,0.43,0.42,1.46K,0.00%
2019-02-11,0.43,0.45,0.45,0.42,14.24K,-4.75%
2019-02-10,0.45,0.47,0.48,0.45,7.78K,-3.56%
2019-02-09,0.47,0.45,0.49,0.43,24.68K,4.90%
2019-02-08,0.45,0.4,0.45,0.4,11.60K,10.51%
2019-02-07,0.4,0.4,0.42,0.39,5.26K,0.00%
2019-02-06,0.4,0.42,0.42,0.39,6.39K,-4.27%
2019-02-05,0.42,0.39,0.43,0.39,6.40K,6.20%
2019-02-04,0.39,0.39,0.4,0.38,6.64K,2.36%
2019-02-03,0.39,0.41,0.41,0.39,7.15K,-5.37%
2019-02-02,0.41,0.41,0.43,0.4,10.13K,0.00%
2019-02-01,0.41,0.4,0.42,0.38,21.78K,2.31%
2019-01-31,0.4,0.41,0.42,0.39,13.73K,-3.91%
2019-01-30,0.41,0.45,0.47,0.41,17.79K,-8.38%
2019-01-29,0.45,0.4,0.46,0.4,65.93K,11.91%
2019-01-28,0.4,0.43,0.43,0.36,27.09K,-6.05%
2019-01-27,0.43,0.47,0.54,0.43,9.86K,-9.01%
2019-01-26,0.47,0.48,0.48,0.47,3.09K,-2.09%
2019-01-25,0.48,0.5,0.51,0.47,25.25K,-2.94%
2019-01-24,0.5,0.5,0.5,0.48,32.03K,0.00%
2019-01-23,0.5,0.53,0.54,0.5,28.31K,-6.20%
2019-01-22,0.53,0.5,0.55,0.5,23.12K,6.78%
2019-01-21,0.5,0.47,0.52,0.47,16.26K,5.46%
2019-01-20,0.47,0.48,0.48,0.46,22.39K,-1.48%
2019-01-19,0.48,0.49,0.49,0.47,24.38K,-2.12%
2019-01-18,0.49,0.47,0.5,0.46,18.70K,3.80%
2019-01-17,0.47,0.49,0.52,0.46,60.88K,-3.33%
2019-01-16,0.49,0.51,0.57,0.47,78.65K,-3.35%
2019-01-15,0.51,0.47,0.58,0.46,152.08K,8.99%
2019-01-14,0.47,0.44,0.49,0.41,41.46K,4.49%
2019-01-13,0.44,0.41,0.44,0.37,7.95K,9.88%
2019-01-12,0.41,0.43,0.46,0.39,25.40K,-6.53%
2019-01-11,0.43,0.35,0.44,0.35,19.21K,23.03%
2019-01-10,0.35,0.4,0.4,0.34,26.40K,-11.26%
2019-01-09,0.4,0.41,0.43,0.39,7.92K,-4.22%
2019-01-08,0.41,0.37,0.41,0.36,9.05K,12.61%
2019-01-07,0.37,0.39,0.39,0.37,2.22K,-5.23%
2019-01-06,0.39,0.37,0.4,0.35,3.31K,5.72%
2019-01-05,0.37,0.42,0.42,0.37,1.00K,-12.36%
2019-01-04,0.42,0.36,0.46,0.34,12.52K,16.38%
2019-01-03,0.36,0.32,0.37,0.3,14.97K,13.85%
2019-01-02,0.32,0.32,0.32,0.32,-,0.00%
2019-01-01,0.32,0.32,0.32,0.32,-,0.00%
2018-12-31,0.32,0.29,0.32,0.29,0.57K,9.26%
2018-12-30,0.29,0.29,0.29,0.29,-,0.00%
2018-12-29,0.29,0.29,0.31,0.29,5.14K,0.00%
2018-12-28,0.29,0.27,0.31,0.26,1.77K,5.97%
2018-12-27,0.27,0.29,0.29,0.27,0.69K,-7.83%
2018-12-26,0.29,0.3,0.32,0.28,3.88K,-3.05%
2018-12-25,0.3,0.31,0.31,0.27,4.27K,0.00%
2018-12-24,0.31,0.3,0.33,0.3,17.52K,1.70%
2018-12-23,0.3,0.28,0.32,0.28,14.40K,6.84%
2018-12-22,0.28,0.29,0.31,0.28,12.29K,-4.36%
2018-12-21,0.29,0.33,0.33,0.29,16.67K,-9.91%
2018-12-20,0.33,0.29,0.34,0.29,58.05K,13.04%
2018-12-19,0.29,0.26,0.31,0.25,93.66K,10.88%
2018-12-18,0.26,0.22,0.26,0.22,34.17K,15.56%
2018-12-17,0.22,0.21,0.23,0.21,87.08K,9.12%
2018-12-16,0.21,0.19,0.37,0.19,56.12K,7.06%
2018-12-15,0.19,0.2,0.2,0.19,0.20K,-5.63%
2018-12-14,0.2,0.2,0.2,0.2,-,0.00%
2018-12-13,0.2,0.22,0.22,0.2,8.86K,-5.86%
2018-12-12,0.22,0.28,0.28,0.21,12.80K,-22.52%
2018-12-11,0.28,0.24,0.31,0.21,12.75K,17.56%
2018-12-10,0.24,0.24,0.24,0.24,-,0.00%
2018-12-09,0.24,0.24,0.24,0.22,2.56K,0.00%
2018-12-08,0.24,0.21,0.24,0.21,1.49K,15.93%
2018-12-07,0.21,0.22,0.22,0.2,3.97K,-6.89%
2018-12-06,0.22,0.27,0.27,0.22,3.25K,-17.20%
2018-12-05,0.27,0.29,0.29,0.27,1.07K,-8.05%
2018-12-04,0.29,0.29,0.3,0.28,9.04K,0.00%
2018-12-03,0.29,0.32,0.32,0.28,2.74K,-9.43%
2018-12-02,0.32,0.33,0.39,0.29,19.80K,-3.18%
2018-12-01,0.33,0.32,0.34,0.32,3.13K,2.70%
2018-11-30,0.32,0.34,0.38,0.32,31.73K,-4.96%
2018-11-29,0.34,0.34,0.36,0.32,5.10K,0.00%
2018-11-28,0.34,0.3,0.34,0.29,17.43K,11.64%
2018-11-27,0.3,0.29,0.31,0.27,32.67K,4.74%
2018-11-26,0.29,0.26,0.29,0.25,3.24K,8.38%
2018-11-25,0.26,0.28,0.28,0.24,10.79K,-6.99%
2018-11-24,0.28,0.35,0.38,0.28,3.90K,-18.10%
2018-11-23,0.35,0.37,0.37,0.35,0.73K,-5.44%
2018-11-22,0.37,0.34,0.37,0.34,2.73K,8.18%
2018-11-21,0.34,0.38,0.38,0.34,4.13K,-10.98%
2018-11-20,0.38,0.39,0.4,0.32,9.56K,-2.88%
2018-11-19,0.39,0.46,0.53,0.39,5.55K,-13.74%
2018-11-18,0.46,0.49,0.56,0.46,6.36K,-6.16%
2018-11-17,0.49,0.51,0.51,0.48,3.98K,-5.67%
2018-11-16,0.51,0.55,0.55,0.51,2.09K,-6.52%
2018-11-15,0.55,0.54,0.56,0.48,32.13K,2.55%
2018-11-14,0.54,0.58,0.63,0.51,38.43K,-8.22%
2018-11-13,0.58,0.57,0.63,0.54,36.94K,1.92%
