date,cur_price,open_price,high_price,low_price,trade_quantity,updown_rate
2018-12-09,1.3547,1.3128,1.4386,1.255,3.82M,3.19%
2018-12-08,1.3128,1.3103,1.3533,1.2023,4.64M,0.20%
2018-12-07,1.3103,1.2407,1.3496,1.1252,4.88M,5.60%
2018-12-06,1.2407,1.3734,1.4183,1.2299,3.97M,-9.65%
2018-12-05,1.3732,1.4814,1.5013,1.3725,4.23M,-7.30%
2018-12-04,1.4814,1.4655,1.5936,1.4126,2.47M,1.20%
2018-12-03,1.4637,1.6117,1.6169,1.4237,4.30M,-9.18%
2018-12-02,1.6117,1.6286,1.6552,1.5984,4.09M,-1.04%
2018-12-01,1.6286,1.5216,1.6519,1.4823,3.65M,7.03%
2018-11-30,1.5216,1.6538,1.6631,1.4429,3.45M,-7.99%
2018-11-29,1.6538,1.6075,1.7436,1.5268,4.51M,2.88%
2018-11-28,1.6076,1.4131,1.6561,1.4129,4.25M,13.77%
2018-11-27,1.4131,1.4397,1.4442,1.3354,3.60M,-1.85%
2018-11-26,1.4397,1.5673,1.5914,1.3754,3.58M,-8.15%
2018-11-25,1.5674,1.5284,1.5968,1.3462,3.52M,2.55%
2018-11-24,1.5285,1.7298,1.7998,1.4869,4.04M,-11.64%
2018-11-23,1.7298,1.8247,1.8481,1.6343,4.66M,-5.21%
2018-11-22,1.8248,2.0346,2.0693,1.8209,2.87M,-10.31%
2018-11-21,2.0346,1.9511,2.0485,1.871,3.48M,4.28%
2018-11-20,1.9511,2.2824,2.3227,1.7134,5.13M,-14.51%
2018-11-19,2.2824,2.7926,2.794,2.2034,3.69M,-18.27%
2018-11-18,2.7926,2.7126,2.8586,2.7123,3.12M,2.93%
2018-11-17,2.713,2.7475,2.7587,2.6847,1.99M,-1.26%
2018-11-16,2.7475,2.8146,2.945,2.6845,2.84M,-2.38%
2018-11-15,2.8146,2.8614,2.8781,2.6249,3.67M,-1.64%
2018-11-14,2.8614,3.2217,3.2683,2.727,3.38M,-11.18%
2018-11-13,3.2217,3.3027,3.3069,3.2155,1.28M,-2.53%
2018-11-12,3.3053,3.2222,3.3252,3.1807,1.46M,2.58%
2018-11-11,3.2222,3.3253,3.3423,3.1633,1.34M,-3.11%
2018-11-10,3.3256,3.3533,3.3638,3.3219,1.27M,-0.82%
2018-11-09,3.3532,3.3381,3.4097,3.308,1.31M,0.45%
2018-11-08,3.3381,3.4393,3.4674,3.3311,1.41M,-2.94%
2018-11-07,3.4393,3.4974,3.5393,3.4218,1.51M,-1.70%
2018-11-06,3.4989,3.3931,3.5481,3.3841,1.52M,3.12%
2018-11-05,3.3931,3.348,3.4327,3.2893,1.31M,1.36%
2018-11-04,3.3475,3.2022,3.3935,3.1879,1.25M,4.54%
2018-11-03,3.2022,3.2716,3.2877,3.1856,1.15M,-2.08%
2018-11-02,3.2701,3.2713,3.3037,3.2214,1.28M,-0.06%
2018-11-01,3.272,3.2844,3.3128,3.2104,1.33M,-0.37%
2018-10-31,3.2843,3.192,3.2987,3.0678,1.42M,2.79%
2018-10-30,3.1951,3.1202,3.1978,3.1114,1.16M,2.41%
2018-10-29,3.1201,3.2478,3.2541,3.052,1.43M,-3.93%
2018-10-28,3.2477,3.2225,3.2556,3.2051,1.07M,0.78%
2018-10-27,3.2225,3.3412,3.3561,3.1849,1.22M,-3.53%
2018-10-26,3.3404,3.3397,3.3706,3.3007,1.29M,0.02%
2018-10-25,3.3397,3.4535,3.4701,3.3369,1.24M,-3.32%
2018-10-24,3.4545,3.3954,3.5783,3.3788,1.47M,1.77%
2018-10-23,3.3945,3.4865,3.5275,3.385,1.41M,-2.60%
2018-10-22,3.4852,3.3729,3.5611,3.3286,1.69M,3.26%
2018-10-21,3.375,3.3683,3.4552,3.3591,1.16M,0.20%
2018-10-20,3.3683,3.3145,3.4237,3.2845,1.08M,1.62%
2018-10-19,3.3145,3.2733,3.3729,3.2183,1.15M,1.26%
2018-10-18,3.2733,3.325,3.4834,3.2286,2.07M,-1.72%
2018-10-17,3.3306,3.244,3.3662,3.1786,1.23M,2.67%
2018-10-16,3.244,3.2544,3.3229,3.1782,1.05M,-0.32%
2018-10-15,3.2545,3.027,3.4554,3.005,2.37M,7.52%
2018-10-14,3.027,3.0877,3.1205,3.0229,1.24M,-1.97%
2018-10-13,3.0878,3.0254,3.1057,3.0182,1.24M,2.06%
2018-10-12,3.0254,3.0023,3.1272,2.9764,1.57M,0.77%
2018-10-11,3.0023,3.5099,3.5111,2.9967,2.30M,-14.40%
2018-10-10,3.5075,3.5205,3.5925,3.4704,1.61M,-0.29%
2018-10-09,3.5179,3.525,3.556,3.452,1.78M,-0.24%
2018-10-08,3.5262,3.4814,3.5709,3.4775,1.72M,1.28%
2018-10-07,3.4817,3.4432,3.4959,3.4055,1.70M,1.12%
2018-10-06,3.4432,3.5259,3.5366,3.4107,2.49M,-2.35%
2018-10-05,3.5259,3.4712,3.55,3.4295,2.63M,1.51%
2018-10-04,3.4733,3.4272,3.5238,3.4125,2.49M,1.52%
2018-10-03,3.4213,3.5412,3.5529,3.3746,2.65M,-3.57%
2018-10-02,3.5479,3.624,3.7011,3.5198,2.36M,-2.23%
2018-10-01,3.6287,3.7141,3.769,3.5366,2.46M,-2.54%
2018-09-30,3.7233,3.6764,3.8195,3.6256,2.51M,1.05%
